frame_id,event_id,event_type,milestone,motion_phase,model_raw_label,raw_label_conflict,is_peak_frame,is_contact_frame,event_start_frame,event_end_frame,peak_frame,contact_frame,bounce_frame,shot_direction,motion_energy,raw_swing_type,wrist_speed,racket_speed,ball_racket_distance,contact_score,event_contact_confidence,racket_lag_at_contact,two_hand_distance
112,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,5.099,Forehand,5.099,0.0,,0.0,0.5937,172.6507,278.627
113,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,5.099,Forehand,32.0624,0.0,,0.0,0.5937,172.6507,283.7358
114,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,25.7099,Forehand,25.7099,0.0,,0.0,0.5937,172.6507,287.0679
115,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,25.7099,Forehand,9.434,0.0,,0.0,0.5937,172.6507,297.3214
116,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,25.7099,Forehand,40.05,0.0,,0.0,0.5937,172.6507,278.1079
117,2,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,98,150,119,119,,screen_right,40.05,Forehand,40.2616,0.0,414.3156,0.0,0.5937,172.6507,265.4807
118,2,Forehand,IN_EVENT,follow_through,Forehand,False,False,False,98,150,119,119,,screen_right,40.2616,Forehand,40.2492,213.3565,596.9268,0.0,0.5937,172.6507,266.1522
119,2,Forehand,PEAK,contact_candidate,Forehand,False,True,True,98,150,119,119,,screen_right,160.0174,Forehand,40.8167,513.9815,73.1373,0.5937,0.5937,172.6507,275.3471
120,2,Forehand,IN_EVENT,forward_swing,Forehand,False,False,False,98,150,119,119,,screen_right,160.0174,Forehand,18.6815,14.0089,,0.0,0.5937,172.6507,276.7418
121,2,Forehand,IN_EVENT,ready,Forehand,False,False,False,98,150,119,119,,screen_right,36.4117,Forehand,20.2485,48.5489,162.0299,0.0998,0.5937,172.6507,257.3908
